2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=central_disc_color n_with_color=0 n_with_lab=0 threshold=50.0
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=papillae_central_disc_color n_with_color=0 n_with_lab=0 threshold=50.0
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=rosette_color n_with_color=48 n_with_lab=29 threshold=50.0
2025-12-05 15:40:22 | WARNING | starBoard.search.field.color | sid=20251205-154000-195ec5 | field=rosette_color unknown_colors=6: ['burnt orange', 'faint mauve', 'light brown', 'mauve burgundy', 'pale yellow', 'peach-brown']
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=papillae_stripe_color n_with_color=0 n_with_lab=0 threshold=50.0
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=madreporite_color n_with_color=47 n_with_lab=37 threshold=50.0
2025-12-05 15:40:22 | WARNING | starBoard.search.field.color | sid=20251205-154000-195ec5 | field=madreporite_color unknown_colors=2: ['white yellow', 'yellow white']
2025-12-05 15:40:22 | INFO | starBoard.search.field.color | sid=20251205-154000-195ec5 | build field=overall_color n_with_color=36 n_with_lab=27 threshold=50.0
2025-12-05 15:40:22 | WARNING | starBoard.search.field.color | sid=20251205-154000-195ec5 | field=overall_color unknown_colors=6: ['bright orange', 'cherry', 'deep maroon', 'light brown', 'purple maroon', 'rusty orange']
2025-12-05 15:40:22 | INFO | starBoard.search.field.short_arm_code | sid=20251205-154000-195ec5 | build field=short_arm_code n_nonempty=48 avg_arms_per_code=5.02 sigma=1.00 default_n_arms=5
